# 拓扑序（教学顺序参考）— 207 个工具
#
001. a01-natural-number  — 自然数
002. b01-point  — 点
003. a02-zero  — 零(0)
004. a03-order  — 大小比较(<,>)
005. a04-digit  — 数字
006. a07-addition  — 加法(+)
007. c01-variable  — 字母表示数
008. f01-frequency-count  — 频数
009. f11-sample-space  — 样本空间
010. b02-line-segment  — 线段
011. b03-straight-line  — 直线
012. b09-circle  — 圆
013. a05-place-value  — 位值
014. a08-subtraction  — 减法(−)
015. a10-multiplication  — 乘法(×)
016. a15-add-commutative  — 加法交换律 a+b=b+a
017. a16-add-associative  — 加法结合律 (a+b)+c=a+(b+c)
018. f05-median  — 中位数
019. f06-mode  — 众数
020. f16-population-sample  — 总体/个体/样本/样本容量
021. b07-triangle  — 三角形
022. b08-quadrilateral  — 四边形
023. b10-perimeter  — 周长
024. a49-number-line  — 数轴
025. b04-ray  — 射线
026. b05-plane  — 平面
027. b06-point-line-relation  — 点与直线的位置关系
028. d38-circle-position  — 两圆位置关系(外离/切/交/内切/内含)
029. a06-decimal-system  — 十进制(满十进一)
030. a09-carry-borrow  — 进位与退位竖式规则
031. f07-range  — 极差 = 最大-最小
032. a11-division  — 除法(÷)
033. a17-mul-commutative  — 乘法交换律 a×b=b×a
034. a18-mul-associative  — 乘法结合律 (a×b)×c=a×(b×c)
035. a19-distributive  — 分配律 a(b+c)=ab+ac
036. c10-square  — 平方 x²
037. b13-area  — 面积
038. b12-circle-circumference  — 圆周长 C=2πr
039. a50-negative-number  — 负数
040. c45-inequality  — 不等式与解集
041. b20-angle  — 角
042. b29-parallel-lines  — 平行线
043. a12-remainder  — 余数
044. a20-factor-multiple  — 因数与倍数
045. f04-mean  — 平均数 = 总和/个数
046. b11-rectangle-perimeter  — 长方形周长 C=2(a+b)
047. c15-power-notation  — 幂记号 a^n(把 `c10-square` 的 x² 一般化到指数 n)
048. b14-cut-rearrange-method  — 割补法
049. b17-volume  — 体积
050. a52-opposite-number  — 相反数
051. b21-right-angle  — 直角
052. b22-degree  — 度(°)
053. b25-straight-angle  — 平角 180°
054. b30-corresponding-angles  — 同位角相等
055. d29-elevation-depression  — 仰角与俯角(平行水平线上两角相等)
056. a13-order-of-operations  — 运算顺序(先乘除后加减)
057. a21-divisibility-cues  — 整除线索
058. a22-factor-pairing  — 因数配对法
059. a23-prime  — 质数
060. a28-fraction-definition  — 分数 a/b
061. c16-same-base-multiply  — 同底数幂相乘 a^m·a^n=a^(m+n)
062. c17-same-base-divide  — 同底数幂相除 a^m/a^n=a^(m-n)
063. c20-power-of-product  — 积的乘方 (ab)^n=a^n b^n
064. b15-parallelogram-area  — 平行四边形面积 底×高
065. b18-rectangular-solid-volume  — 长方体体积 长×宽×高
066. b19-cylinder-volume  — 圆柱体积 底面积×高
067. a53-absolute-value  — 绝对值
068. b23-acute-angle  — 锐角 0°<∠<90°
069. b24-obtuse-angle  — 钝角 90°<∠<180°
070. b26-complementary  — 互余
071. b34-perpendicular  — 垂直 a⊥b
072. b27-supplementary  — 互补
073. b28-vertical-angles  — 对顶角相等
074. a14-parentheses  — 括号
075. a24-composite  — 合数
076. a29-proper-fraction  — 真分数
077. a30-improper-fraction  — 假分数
